"price" "yrbuilt" "stories" "tla" "wall" "beds" "baths" "frontage" "garage" "rooms" "lotsize" "longitude" "latitude"
60000 1887 "one+half" 154 "Horizontal or vertical wood siding or shakes" 4 1 48 "no garage" 7 4227 -83.839192 41.441397
230000 1993 "one+half" 275 "Aluminum, vinyl, or steel siding" 4 3 53 "attached" 7 27535 -83.807996 41.44164
212500 1990 "one+half" 299 "half or less brick exterior" 5 3 53 "attached" 8 25750 -83.807408 41.441924
124900 1992 "one" 151 "Aluminum, vinyl, or steel siding" 3 2 67 "no garage" 7 21392 -83.875051 41.441928
214500 1987 "two" 247 "half or less brick exterior" 3 2 53 "attached" 6 24629 -83.806817 41.442197
150000 1983 "multilvl" 158 "half or less brick exterior" 3 1 53 "attached" 7 23876 -83.806272 41.442496
190000 1980 "one" 184 "Horizontal or vertical wood siding or shakes" 4 1 65 "attached" 7 19640 -83.816556 41.443184
123500 1981 "one" 164 "half or less brick exterior" 4 2 59 "attached" 8 20335 -83.804525 41.443305
85500 1940 "one" 101 "Horizontal or vertical wood siding or shakes" 3 1 159 "detached" 5 5629 -83.874125 41.443667
81000 1887 "two" 201 "Aluminum, vinyl, or steel siding" 4 1 60 "no garage" 8 23616 -83.876155 41.445804
80000 1915 "two" 172 "half or less brick exterior" 3 1 70 "detached" 6 5333 -83.801967 41.445843
58000 1986 "one" 98 "Horizontal or vertical wood siding or shakes" 2 2 63 "no garage" 4 4035 -83.873341 41.447688
56250 1907 "one" 117 "Aluminum, vinyl, or steel siding" 3 1 98 "no garage" 5 5295 -83.825882 41.449204
186950 1973 "one" 161 "half or less brick exterior" 4 2 61 "attached" 7 4047 -83.876842 41.449442
78000 1922 "one" 66 "Horizontal or vertical wood siding or shakes" 2 1 60 "detached" 4 5520 -83.87443 41.449765
83000 1988 "one" 125 "Aluminum, vinyl, or steel siding" 3 2 59 "detached" 5 5472 -83.874441 41.450304
210000 1983 "one" 207 "Horizontal or vertical wood siding or shakes" 3 2 101 "attached" 7 19315 -83.875654 41.450375
125500 1986 "multilvl" 143 "Horizontal or vertical wood siding or shakes" 2 1 101 "attached" 5 6522 -83.874455 41.450934
99500 1975 "one" 165 "half or less brick exterior" 3 2 43 "attached" 5 4097 -83.790537 41.451055
82000 1979 "one" 120 "Horizontal or vertical wood siding or shakes" 2 1 64 "detached" 5 3948 -83.853402 41.451249
85000 1910 "two" 112 "Aluminum, vinyl, or steel siding" 3 2 82 "attached" 5 5322 -83.849145 41.451286
90000 1960 "multilvl" 147 "half or less brick exterior" 3 1 53 "attached" 6 3038 -83.796236 41.451833
59000 1870 "one" 151 "Horizontal or vertical wood siding or shakes" 3 1 58 "no garage" 6 2946 -83.844368 41.451939
56500 1968 "one" 97 "Horizontal or vertical wood siding or shakes" 3 1 41 "detached" 5 4041 -83.788748 41.452012
60000 1946 "one" 91 "Horizontal or vertical wood siding or shakes" 2 1 25 "no garage" 4 1793 -83.816036 41.452242
35000 1997 "one" 203 "half or less brick exterior" 3 2 72 "attached" 6 29161 -83.821787 41.453225
100000 1918 "one" 201 "Aluminum, vinyl, or steel siding" 4 2 121 "detached" 7 23179 -83.843621 41.453493
61500 1897 "one+half" 121 "Horizontal or vertical wood siding or shakes" 3 1 61 "attached" 5 3168 -83.825259 41.45392
140000 1926 "two" 206 "Horizontal or vertical wood siding or shakes" 4 1 95 "detached" 9 19361 -83.784543 41.454621
50000 1958 "one" 92 "Aluminum, vinyl, or steel siding" 2 1 25 "attached" 5 1951 -83.825149 41.455147
86000 1958 "one" 94 "Horizontal or vertical wood siding or shakes" 3 1 24 "attached" 6 17828 -83.822989 41.455275
124300 1982 "one" 155 "Horizontal or vertical wood siding or shakes" 3 2 56 "detached" 6 5630 -83.790134 41.456203
103000 1987 "one" 130 "Horizontal or vertical wood siding or shakes" 2 1 70 "detached" 5 19630 -83.79202 41.456463
198000 1944 "one" 180 "half or less brick exterior" 3 2 73 "attached" 6 7748 -83.845664 41.457343
52000 1902 "one" 80 "Aluminum, vinyl, or steel siding" 2 1 81 "detached" 4 4190 -83.855027 41.457791
89900 1897 "one+half" 121 "Horizontal or vertical wood siding or shakes" 3 1 114 "no garage" 7 8008 -83.874698 41.458197
51500 1956 "one" 107 "Horizontal or vertical wood siding or shakes" 2 1 40 "attached" 5 3679 -83.825156 41.458369
90000 1949 "one" 130 "Full brick exterior" 2 1 59 "detached" 5 4552 -83.825167 41.458837
139900 1937 "two" 173 "Horizontal or vertical wood siding or shakes" 4 1 101 "detached" 7 19384 -83.868591 41.459549
110000 1989 "one+half" 130 "Horizontal or vertical wood siding or shakes" 2 1 86 "no garage" 5 9170 -83.873344 41.459692
135000 1974 "bilevel" 222 "half or less brick exterior" 4 1 46 "detached" 7 9699 -83.853163 41.459778
75000 1979 "one" 93 "Horizontal or vertical wood siding or shakes" 1 2 92 "detached" 4 27481 -83.872234 41.460511
90000 1926 "one" 205 "half or less brick exterior" 4 1 18 "detached" 7 9927 -83.783639 41.461458
135000 1992 "one" 176 "Aluminum, vinyl, or steel siding" 3 2 63 "attached" 6 9037 -83.805528 41.46151
110000 1947 "one+half" 219 "half or less brick exterior" 4 1 61 "attached" 7 19154 -83.783117 41.462026
62000 1958 "one" 86 "Horizontal or vertical wood siding or shakes" 2 1 43 "attached" 4 3976 -83.825232 41.462922
95000 1877 "two" 149 "Horizontal or vertical wood siding or shakes" 3 1 55 "detached" 7 15945 -83.780419 41.464263
87900 1901 "one+half" 124 "half or less brick exterior" 3 1 137 "no garage" 6 14930 -83.844371 41.464294
78500 1947 "one" 100 "Horizontal or vertical wood siding or shakes" 2 1 32 "detached" 5 2266 -83.776092 41.465107
80000 1929 "one+half" 148 "Aluminum, vinyl, or steel siding" 4 1 72 "detached" 8 4599 -83.868279 41.465604
130000 1954 "one" 197 "Full brick exterior" 3 2 40 "detached" 6 28854 -83.778549 41.465645
362000 1975 "two" 455 "Horizontal or vertical wood siding or shakes" 4 3 61 "attached" 9 6791 -83.768205 41.465948
295000 1975 "two" 324 "Stone exterior" 4 2 121 "attached" 11 27393 -83.766469 41.466106
82500 1941 "one+half" 203 "Horizontal or vertical wood siding or shakes" 3 1 38 "attached" 7 13152 -83.776548 41.46633
72000 1948 "one" 129 "Horizontal or vertical wood siding or shakes" 3 1 102 "detached" 6 6447 -83.854035 41.466409
210000 1956 "one" 226 "half or less brick exterior" 3 1 30 "detached" 5 4933 -83.761602 41.467205
140000 1952 "one" 165 "Full brick exterior" 3 2 47 "attached" 5 8984 -83.760762 41.467668
120000 1952 "one" 139 "Horizontal or vertical wood siding or shakes" 3 2 30 "attached" 5 6475 -83.759966 41.468182
153750 1950 "one" 168 "Full brick exterior" 3 3 30 "attached" 6 5862 -83.759702 41.468381
115500 1955 "one" 182 "Full brick exterior" 2 2 24 "no garage" 8 7079 -83.757983 41.469474
68000 1984 "one" 98 "Aluminum, vinyl, or steel siding" 4 1 98 "no garage" 6 9275 -83.865268 41.469523
90000 1958 "multilvl" 134 "Horizontal or vertical wood siding or shakes" 3 1 30 "detached" 6 2800 -83.75848 41.470845
142000 1892 "two" 163 "Horizontal or vertical wood siding or shakes" 4 2 61 "detached" 8 4047 -83.870661 41.471405
100000 1994 "one" 165 "Full brick exterior" 2 1 60 "attached" 5 4775 -83.756694 41.472109
145900 1971 "one" 248 "Full brick exterior" 3 2 51 "detached" 7 4032 -83.83275 41.473208
95500 1957 "one" 132 "Horizontal or vertical wood siding or shakes" 3 1 27 "detached" 6 1858 -83.759924 41.473689
138500 1959 "one" 175 "half or less brick exterior" 3 1 27 "detached" 7 1858 -83.759586 41.473692
95000 1901 "two" 162 "Aluminum, vinyl, or steel siding" 3 1 61 "detached" 8 4047 -83.836055 41.473928
132000 1900 "one+half" 241 "Horizontal or vertical wood siding or shakes" 4 2 30 "no garage" 7 461 -83.797284 41.474055
167500 1979 "one" 193 "Horizontal or vertical wood siding or shakes" 2 2 70 "attached" 7 10006 -83.831288 41.474307
121700 1930 "one" 139 "Horizontal or vertical wood siding or shakes" 3 1 40 "detached" 6 5989 -83.757711 41.474726
189400 1973 "one" 239 "Full brick exterior" 4 2 61 "attached" 9 4047 -83.833474 41.475516
95000 1918 "one+half" 144 "Horizontal or vertical wood siding or shakes" 3 1 153 "attached" 8 9123 -83.854626 41.47633
124000 1885 "two" 184 "half or less brick exterior" 3 2 123 "no garage" 7 15665 -83.875281 41.478334
42000 1909 "one+half" 131 "Horizontal or vertical wood siding or shakes" 4 1 119 "no garage" 7 6746 -83.806567 41.479903
123000 1984 "two" 161 "half or less brick exterior" 3 2 51 "attached" 6 4589 -83.848771 41.480282
164000 1987 "one" 193 "Full brick exterior" 3 2 51 "attached" 8 4589 -83.848165 41.480292
120000 1979 "one" 191 "half or less brick exterior" 3 2 46 "attached" 5 3911 -83.831354 41.480468
205000 1988 "two" 222 "half or less brick exterior" 4 2 70 "attached" 8 6540 -83.854465 41.480985
176500 1991 "two" 186 "Aluminum, vinyl, or steel siding" 3 2 64 "attached" 6 8430 -83.8534 41.48131
78000 1991 "one" 125 "Horizontal or vertical wood siding or shakes" 3 2 46 "no garage" 6 4642 -83.816933 41.481466
112000 1897 "two" 178 "Horizontal or vertical wood siding or shakes" 4 1 41 "detached" 7 4199 -83.815932 41.481483
20000 1997 "one" 146 "Aluminum, vinyl, or steel siding" 3 2 101 "attached" 6 9504 -83.812446 41.481484
138000 1973 "one" 189 "Full brick exterior" 4 2 44 "attached" 7 4627 -83.811578 41.481536
122000 1981 "multilvl" 239 "half or less brick exterior" 3 2 56 "attached" 7 5734 -83.8074 41.481581
63500 1925 "one" 115 "Horizontal or vertical wood siding or shakes" 3 1 63 "no garage" 6 3874 -83.7968 41.481749
162000 1991 "one+half" 141 "Aluminum, vinyl, or steel siding" 2 1 50 "attached" 5 19770 -83.872118 41.482064
185500 1989 "one+half" 261 "Horizontal or vertical wood siding or shakes" 5 2 60 "attached" 7 23625 -83.80946 41.482315
55000 1912 "one" 107 "half or less brick exterior" 2 1 79 "attached" 5 4701 -83.855636 41.483925
128900 1974 "one" 143 "Full brick exterior" 3 1 43 "attached" 6 4063 -83.865582 41.484347
35000 1897 "two" 153 "Aluminum, vinyl, or steel siding" 3 1 77 "detached" 7 5649 -83.806657 41.486424
60000 1930 "one" 126 "Horizontal or vertical wood siding or shakes" 2 1 76 "detached" 5 7442 -83.855929 41.486448
190000 1993 "two" 215 "Aluminum, vinyl, or steel siding" 4 2 98 "attached" 8 18405 -83.859561 41.486984
95000 1949 "one" 110 "Horizontal or vertical wood siding or shakes" 3 1 91 "attached" 5 6358 -83.875132 41.487168
73000 1973 "one" 161 "half or less brick exterior" 3 1 40 "attached" 7 4041 -83.858727 41.48741
88000 1888 "two" 156 "Horizontal or vertical wood siding or shakes" 4 1 141 "no garage" 7 10164 -83.826961 41.487555
108000 1988 "one" 115 "Full brick exterior" 2 2 51 "attached" 5 5026 -83.86463 41.488351
107500 1975 "one" 127 "half or less brick exterior" 3 1 50 "attached" 6 4980 -83.864042 41.488357
122000 1975 "one" 138 "half or less brick exterior" 3 1 42 "attached" 7 4078 -83.860073 41.488395
175000 1994 "two" 255 "Horizontal or vertical wood siding or shakes" 4 2 112 "attached" 8 19640 -83.876203 41.488482
68000 1947 "two" 110 "Horizontal or vertical wood siding or shakes" 3 1 15 "no garage" 7 669 -83.87123 41.488804
184000 1990 "two" 250 "half or less brick exterior" 3 2 36 "attached" 7 4450 -83.859197 41.489098
123500 1977 "one" 156 "Aluminum, vinyl, or steel siding" 3 2 64 "attached" 7 4041 -83.859991 41.489119
65000 1995 "one" 146 "Aluminum, vinyl, or steel siding" 2 2 15 "no garage" 5 697 -83.869532 41.489714
107000 1976 "one" 121 "Horizontal or vertical wood siding or shakes" 3 1 57 "attached" 6 4215 -83.859655 41.489892
130000 1978 "two" 198 "Aluminum, vinyl, or steel siding" 3 2 42 "attached" 7 4116 -83.862277 41.490035
111111 1977 "one" 157 "Horizontal or vertical wood siding or shakes" 3 2 47 "attached" 6 4097 -83.861728 41.49017
105000 1983 "one" 125 "Horizontal or vertical wood siding or shakes" 3 1 50 "attached" 5 4060 -83.864472 41.490172
105000 1972 "one" 167 "half or less brick exterior" 3 1 44 "attached" 7 4041 -83.867565 41.490314
157000 1977 "two" 211 "half or less brick exterior" 3 2 62 "attached" 8 4060 -83.86037 41.490458
79000 1950 "one+half" 131 "Horizontal or vertical wood siding or shakes" 3 1 16 "detached" 5 725 -83.873818 41.490477
87000 1974 "one" 133 "Horizontal or vertical wood siding or shakes" 4 1 44 "no garage" 7 4041 -83.867799 41.490677
110500 1947 "two" 169 "half or less brick exterior" 3 2 15 "no garage" 7 697 -83.869969 41.490713
25500 1931 "two" 80 "Horizontal or vertical wood siding or shakes" 2 1 15 "detached" 5 595 -83.875021 41.490785
83500 1917 "one" 114 "Horizontal or vertical wood siding or shakes" 3 1 30 "detached" 6 1394 -83.872604 41.490841
144000 1990 "one" 146 "Horizontal or vertical wood siding or shakes" 3 2 25 "attached" 6 5797 -83.858543 41.491171
124000 1992 "two" 185 "Horizontal or vertical wood siding or shakes" 3 2 60 "attached" 5 4116 -83.860004 41.491247
80000 1907 "one+half" 174 "Stucco or Dryvit plaster" 3 1 15 "attached" 8 697 -83.874751 41.49128
28500 1931 "one" 67 "Stucco or Dryvit plaster" 2 1 15 "attached" 4 697 -83.873305 41.491946
135000 1973 "one" 229 "Horizontal or vertical wood siding or shakes" 5 1 57 "attached" 10 7572 -83.88209 41.49208
72000 1907 "one" 89 "Horizontal or vertical wood siding or shakes" 2 1 18 "detached" 5 808 -83.872714 41.49233
65000 1971 "one" 119 "Horizontal or vertical wood siding or shakes" 3 1 15 "detached" 5 697 -83.871169 41.492552
70000 1955 "one" 137 "half or less brick exterior" 3 2 23 "no garage" 6 1106 -83.875569 41.492577
70000 1907 "two" 167 "Horizontal or vertical wood siding or shakes" 4 1 38 "detached" 9 1839 -83.875059 41.492759
185000 1973 "two" 189 "Aluminum, vinyl, or steel siding" 4 1 103 "attached" 8 22529 -83.805968 41.492842
68900 1972 "one" 141 "half or less brick exterior" 3 1 30 "attached" 5 1394 -83.874114 41.493172
46000 1975 "one" 117 "half or less brick exterior" 3 2 14 "attached" 6 632 -83.874228 41.49335
126500 1978 "one" 248 "half or less brick exterior" 3 2 46 "attached" 6 3901 -83.826032 41.493533
132000 1973 "multilvl" 161 "half or less brick exterior" 3 1 88 "detached" 6 7284 -83.882392 41.494546
17500 1997 "one" 159 "Aluminum, vinyl, or steel siding" 3 2 47 "attached" 6 4047 -83.844543 41.49489
160000 1949 "one" 264 "half or less brick exterior" 4 2 53 "detached" 8 3565 -83.798271 41.495329
87000 1899 "two" 173 "Horizontal or vertical wood siding or shakes" 2 3 46 "detached" 6 4702 -83.845157 41.495604
90000 1967 "one" 94 "Horizontal or vertical wood siding or shakes" 3 1 41 "detached" 5 3436 -83.843203 41.495869
158000 1982 "two" 178 "Aluminum, vinyl, or steel siding" 5 2 50 "attached" 9 4153 -83.831775 41.495931
215000 1993 "two" 230 "Horizontal or vertical wood siding or shakes" 4 2 51 "attached" 8 38672 -83.867677 41.495939
138500 1978 "one+half" 160 "Horizontal or vertical wood siding or shakes" 4 2 50 "attached" 6 4153 -83.83415 41.495945
117000 1992 "one" 196 "Horizontal or vertical wood siding or shakes" 3 2 46 "attached" 6 5224 -83.841312 41.495946
122000 1913 "two" 166 "Concrete block or tile" 4 1 46 "detached" 8 4719 -83.815333 41.49609
183000 1993 "one" 203 "half or less brick exterior" 3 2 76 "attached" 7 9296 -83.828274 41.496109
135000 1978 "two" 206 "half or less brick exterior" 3 1 51 "attached" 7 19770 -83.833881 41.496552
179900 1902 "two" 195 "Horizontal or vertical wood siding or shakes" 3 1 89 "detached" 7 11334 -83.750254 41.49658
84000 1980 "one" 113 "half or less brick exterior" 5 2 56 "attached" 8 4063 -83.845294 41.496593
78000 1983 "one" 111 "Horizontal or vertical wood siding or shakes" 3 2 41 "attached" 6 4075 -83.845205 41.497003
159000 1977 "one" 164 "half or less brick exterior" 3 2 50 "attached" 6 19472 -83.849231 41.497112
149900 1992 "multilvl" 168 "half or less brick exterior" 3 2 41 "attached" 8 4075 -83.845216 41.497374
131000 1994 "one" 166 "Horizontal or vertical wood siding or shakes" 3 2 55 "attached" 7 4055 -83.875464 41.497722
162500 1976 "one" 145 "half or less brick exterior" 3 2 51 "attached" 7 19770 -83.833939 41.498386
132500 1989 "one" 133 "half or less brick exterior" 2 1 51 "attached" 5 20346 -83.867704 41.498464
75000 1952 "one" 104 "Horizontal or vertical wood siding or shakes" 3 1 30 "attached" 6 2072 -83.874534 41.49863
153260 1990 "one+half" 285 "Aluminum, vinyl, or steel siding" 3 2 51 "attached" 7 20336 -83.867718 41.498925
163500 1955 "one" 98 "Stone exterior" 1 2 61 "no garage" 2 4047 -83.87899 41.499042
215000 1996 "two" 234 "Aluminum, vinyl, or steel siding" 3 2 70 "attached" 6 20072 -83.784755 41.499219
141900 1993 "one" 166 "Aluminum, vinyl, or steel siding" 3 1 53 "attached" 6 4059 -83.875522 41.49928
111000 1956 "one" 124 "half or less brick exterior" 3 1 69 "attached" 7 4589 -83.874556 41.499334
106500 1971 "one" 223 "Horizontal or vertical wood siding or shakes" 4 2 66 "no garage" 10 11492 -83.856474 41.499495
152950 1979 "one" 173 "Aluminum, vinyl, or steel siding" 3 2 51 "attached" 7 20216 -83.867743 41.499848
156750 1976 "one" 202 "half or less brick exterior" 3 2 50 "attached" 8 19779 -83.848384 41.50007
153000 1973 "two" 191 "Horizontal or vertical wood siding or shakes" 4 1 88 "attached" 8 9308 -83.766042 41.500321
250000 1996 "two" 229 "Aluminum, vinyl, or steel siding" 4 2 68 "attached" 8 27705 -83.785581 41.501026
165000 1990 "one+half" 226 "Horizontal or vertical wood siding or shakes" 3 2 82 "attached" 6 19490 -83.87752 41.501105
165000 1963 "two" 224 "Horizontal or vertical wood siding or shakes" 4 1 65 "attached" 8 7503 -83.766086 41.501916
199900 1989 "two" 237 "Aluminum, vinyl, or steel siding" 3 2 51 "attached" 8 19770 -83.83407 41.50295
82000 1941 "one" 84 "Horizontal or vertical wood siding or shakes" 3 1 50 "no garage" 7 19770 -83.853318 41.503212
160000 1957 "one" 193 "Full brick exterior" 2 2 122 "attached" 5 19121 -83.767807 41.503315
167500 1994 "two" 184 "half or less brick exterior" 4 2 50 "attached" 7 19890 -83.848481 41.503528
126500 1989 "two" 205 "half or less brick exterior" 4 2 51 "attached" 7 20104 -83.86299 41.50354
162000 1975 "one+half" 222 "Full brick exterior" 3 2 65 "attached" 6 7503 -83.766059 41.50361
249000 1995 "two" 246 "Aluminum, vinyl, or steel siding" 3 2 50 "attached" 7 19894 -83.848496 41.503981
87000 1906 "two" 111 "Horizontal or vertical wood siding or shakes" 3 1 60 "no garage" 6 4132 -83.836955 41.504172
250000 1992 "one+half" 248 "half or less brick exterior" 4 3 104 "attached" 8 19287 -83.808892 41.504257
140000 1969 "two" 156 "half or less brick exterior" 3 1 61 "no garage" 6 4047 -83.858195 41.504734
98000 1956 "one" 127 "Horizontal or vertical wood siding or shakes" 3 1 59 "attached" 7 7311 -83.845292 41.505157
129500 1990 "one" 139 "Aluminum, vinyl, or steel siding" 3 2 46 "attached" 6 4199 -83.846725 41.505614
150000 1912 "two" 190 "Horizontal or vertical wood siding or shakes" 3 3 50 "detached" 7 5779 -83.817073 41.505918
146000 1985 "one+half" 199 "half or less brick exterior" 4 2 46 "detached" 8 4199 -83.846737 41.506025
48000 1977 "one" 98 "Aluminum, vinyl, or steel siding" 2 1 40 "no garage" 4 3921 -83.874474 41.506052
98000 1939 "one" 124 "Horizontal or vertical wood siding or shakes" 3 1 61 "no garage" 6 3735 -83.827495 41.506155
87250 1917 "two" 127 "Horizontal or vertical wood siding or shakes" 3 1 52 "detached" 7 4047 -83.804385 41.506184
146000 1993 "one+half" 224 "Aluminum, vinyl, or steel siding" 3 1 9 "detached" 6 32824 -83.832885 41.506286
70000 1925 "two" 144 "Horizontal or vertical wood siding or shakes" 3 1 64 "detached" 5 6212 -83.747171 41.506971
186700 1987 "one" 291 "Horizontal or vertical wood siding or shakes" 3 3 70 "detached" 6 5453 -83.845666 41.50708
118500 1877 "one+half" 184 "Horizontal or vertical wood siding or shakes" 4 1 95 "detached" 8 8357 -83.751709 41.507159
179000 1982 "one+half" 189 "Horizontal or vertical wood siding or shakes" 4 2 50 "attached" 6 19835 -83.858346 41.509511
124000 1980 "one" 136 "Full brick exterior" 2 1 80 "attached" 6 19751 -83.86702 41.510003
195000 1985 "two" 246 "half or less brick exterior" 4 2 46 "attached" 9 6515 -83.783426 41.510925
139900 1951 "one" 155 "half or less brick exterior" 3 1 45 "attached" 5 3958 -83.716425 41.511137
175500 1993 "multilvl" 180 "Aluminum, vinyl, or steel siding" 3 2 12 "attached" 6 20125 -83.877364 41.511944
188000 1978 "one" 209 "half or less brick exterior" 3 2 50 "attached" 7 19770 -83.839086 41.511952
65800 1857 "two" 175 "Horizontal or vertical wood siding or shakes" 3 1 134 "no garage" 8 20634 -83.764245 41.512091
155000 1979 "one" 180 "Horizontal or vertical wood siding or shakes" 3 1 85 "attached" 6 19500 -83.867082 41.512291
136500 1976 "one" 181 "Aluminum, vinyl, or steel siding" 3 1 50 "detached" 5 8724 -83.835626 41.512518
165000 1984 "one+half" 213 "Horizontal or vertical wood siding or shakes" 3 2 50 "detached" 6 19770 -83.863252 41.512623
142000 1974 "one" 123 "Full brick exterior" 3 1 50 "detached" 6 19770 -83.829629 41.513048
164000 1990 "one+half" 146 "Horizontal or vertical wood siding or shakes" 3 1 50 "detached" 6 19770 -83.829617 41.513489
96000 1975 "one" 158 "Full brick exterior" 2 1 37 "attached" 6 3122 -83.716105 41.513786
93000 1983 "one" 116 "Horizontal or vertical wood siding or shakes" 2 1 71 "detached" 5 6550 -83.845759 41.513818
160000 1987 "two" 243 "Horizontal or vertical wood siding or shakes" 3 2 91 "attached" 6 6410 -83.836258 41.51404
117000 1897 "two" 187 "Aluminum, vinyl, or steel siding" 4 1 46 "detached" 8 3994 -83.774364 41.514419
180000 1951 "one" 177 "Horizontal or vertical wood siding or shakes" 3 1 41 "detached" 5 12322 -83.713683 41.514421
119000 1959 "one" 140 "Full brick exterior" 3 1 113 "attached" 6 12789 -83.847127 41.514495
151000 1981 "one+half" 217 "Horizontal or vertical wood siding or shakes" 3 2 69 "attached" 7 19612 -83.862074 41.514648
191000 1978 "two" 357 "Horizontal or vertical wood siding or shakes" 5 3 69 "attached" 9 19603 -83.861252 41.514654
40000 1997 "two" 167 "half or less brick exterior" 3 2 69 "attached" 7 19603 -83.859602 41.514668
331000 1925 "two" 278 "Aluminum, vinyl, or steel siding" 3 2 46 "detached" 7 12811 -83.713623 41.514819
75000 1887 "one+half" 133 "Horizontal or vertical wood siding or shakes" 3 1 70 "no garage" 6 19593 -83.839328 41.51489
95000 1965 "one+half" 169 "Horizontal or vertical wood siding or shakes" 4 2 48 "attached" 7 3614 -83.855619 41.515347
112000 1952 "one" 145 "Full brick exterior" 3 1 33 "attached" 5 3971 -83.716089 41.515613
56000 1980 "one" 169 "Horizontal or vertical wood siding or shakes" 2 1 46 "no garage" 8 3995 -83.845476 41.515666
265000 1887 "two" 252 "Horizontal or vertical wood siding or shakes" 3 2 35 "detached" 8 8903 -83.713423 41.51592
148000 1952 "one+half" 168 "Horizontal or vertical wood siding or shakes" 2 1 30 "attached" 7 4023 -83.716089 41.516169
114900 1995 "one" 125 "Aluminum, vinyl, or steel siding" 3 2 67 "attached" 6 4035 -83.86429 41.516362
120000 1953 "one" 122 "half or less brick exterior" 2 1 23 "detached" 5 1489 -83.715782 41.516408
55000 1977 "one" 126 "Horizontal or vertical wood siding or shakes" 3 2 91 "detached" 6 7767 -83.853104 41.516436
87900 1962 "one" 98 "Aluminum, vinyl, or steel siding" 3 1 30 "attached" 6 1700 -83.78815 41.516501
115000 1942 "one" 195 "Aluminum, vinyl, or steel siding" 3 1 61 "attached" 6 3804 -83.826838 41.516698
32900 1997 "two" 231 "half or less brick exterior" 4 2 38 "attached" 7 1572 -83.737522 41.51672
208000 1996 "two" 225 "half or less brick exterior" 4 2 27 "attached" 7 1129 -83.737129 41.516722
38900 1997 "one" 190 "half or less brick exterior" 3 2 27 "attached" 6 1129 -83.736801 41.516724
34900 1997 "two" 212 "half or less brick exterior" 4 2 34 "attached" 7 1380 -83.736107 41.516727
34900 1997 "two" 213 "half or less brick exterior" 4 2 25 "attached" 8 1146 -83.73413 41.516729
36900 1997 "two" 235 "half or less brick exterior" 4 2 22 "attached" 7 1646 -83.733722 41.516731
38900 1997 "two" 210 "half or less brick exterior" 3 2 27 "attached" 7 1129 -83.734792 41.516733
